City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Saint-Augustin,CA,51.226,-58.6502,71.74,75,100,19.15,overcast clouds
234,Lasa,IT,46.6166,10.7002,67.08,89,88,1.28,overcast clouds
235,Edgewater,US,28.9889,-80.9023,91.54,66,40,11.5,scattered clouds
236,Ziarat,PK,30.3823,67.7282,65.77,61,25,2.44,scattered clouds
237,Lazaro Cardenas,MX,17.9583,-102.2,85.96,64,93,9.82,overcast clouds
238,Kavieng,PG,-2.5744,150.7967,81.81,78,89,13.27,light rain
239,Bahia Blanca,AR,-38.7196,-62.2724,46.22,72,98,9.04,overcast clouds
240,Nanortalik,GL,60.1432,-45.2371,45.09,82,7,8.84,clear sky
241,Awjilah,LY,29.1081,21.2869,80.33,56,0,12.39,clear sky
242,Lorengau,PG,-2.0226,147.2712,82.47,75,92,8.16,overcast clouds
243,Bengkulu,ID,-3.8004,102.2655,74.44,87,11,5.03,few clouds
244,Aranos,NA,-24.1333,19.1167,59.61,29,51,9.78,broken clouds
245,Crewe,GB,53.0979,-2.4416,62.38,78,18,1.01,few clouds
246,Mendi,PG,-6.1761,143.6513,55.83,89,90,2.28,overcast clouds
247,Nemuro,JP,43.3236,145.575,65.97,97,100,15.73,overcast clouds
248,Keita,NE,14.7551,5.7749,88.11,54,77,10.69,light rain
249,Mount Gambier,AU,-37.8333,140.7667,40.96,86,22,4.43,few clouds
250,Flagstaff,US,35.1981,-111.6513,78.6,75,100,4.61,light rain
251,Woodward,US,36.4337,-99.3904,101.43,26,0,10.36,clear sky
252,Kyshtovka,RU,56.555,76.6271,56.86,82,85,7.34,overcast clouds
253,San Quintin,MX,30.4833,-115.95,78.08,71,87,6.24,overcast clouds
254,Kaohsiung,TW,22.6163,120.3133,81.03,84,40,3.44,scattered clouds
255,Prigorodnyy,RU,51.7661,55.2665,69.96,52,0,6.71,clear sky
256,Milkovo,RU,54.7167,158.6167,70.79,64,16,0.4,few clouds
257,Pisco,PE,-13.7,-76.2167,66.25,68,20,16.11,few clouds
258,Toora-Khem,RU,52.4675,96.11,43.88,70,0,1.48,clear sky
259,Yeppoon,AU,-23.1333,150.7333,49.78,53,0,6.78,clear sky
260,North Myrtle Beach,US,33.816,-78.68,87.3,77,20,9.22,few clouds
