City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Crestview,US,90.77,broken clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
164,Lae,PG,74.07,light rain,-6.7221,146.9847,Phils Hotel
166,Kem,RU,52.79,scattered clouds,64.9555,34.5793,Kuzova
167,Dariba,IN,77.94,overcast clouds,24.95,74.1333,JDO Hostel
168,Sarahan,IN,65.07,overcast clouds,31.5167,77.8,Hotel Monal
169,Dakoro,NE,89.74,broken clouds,14.5106,6.765,Shagon mai liverpool
170,New Norfolk,AU,34.72,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
171,Hay River,CA,62.58,broken clouds,60.8156,-115.7999,Ptarmigan Inn
172,Alice Springs,AU,33.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
173,Bambous Virieux,MU,66.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
174,Bardiyah,LY,78.04,clear sky,31.7561,25.0865,بورتو بردية
175,Milove,UA,71.08,scattered clouds,49.3787,40.1302,СТРЕЛЕЦКАЯ СЛОБОДА
176,Galesong,ID,73.42,broken clouds,-5.3166,119.3661,Sapriadi Appy
177,Datong,CN,73.49,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
178,Bilma,NE,94.51,few clouds,18.6853,12.9164,Expeditions Ténére voyages
179,Guerrero Negro,MX,86.31,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
180,Tuktoyaktuk,CA,48.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
181,Hobart,AU,35.06,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
182,Kruisfontein,ZA,57.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
183,Lebu,CL,46.85,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
185,Jinchang,CN,70.21,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
186,Samarai,PG,80.1,broken clouds,-10.6167,150.6667,Nuli Sapi
187,Mahibadhoo,MV,81.36,overcast clouds,3.7833,72.9667,Omadhoo Inn
188,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
189,Paamiut,GL,43.3,clear sky,61.994,-49.6678,Pistut
190,Boden,SE,51.8,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
191,Atar,MR,99.39,clear sky,20.5169,-13.0499,Oumou Elghoura
193,Saldanha,ZA,55.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
194,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
195,Itirucu,BR,65.1,overcast clouds,-13.5317,-40.1503,Wil palace hotel
196,Guaratinga,BR,69.04,few clouds,-16.5667,-39.5667,Hotel Caraíva
197,Fairbanks,US,57.22,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
198,Qaanaaq,GL,44.56,clear sky,77.484,-69.3632,Qaanaaq Hotel
199,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
200,Cuaspud,CO,57.04,few clouds,0.8628,-77.7263,San Francisco de Arellanos
201,Hasaki,JP,81.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
204,Cherskiy,RU,44.2,overcast clouds,68.75,161.3,Gostinitsa
205,Burnie,AU,42.93,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
207,Sur,OM,86.77,broken clouds,22.5667,59.5289,Sur Plaza Hotel
208,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
209,Srandakan,ID,74.88,overcast clouds,-7.9386,110.2506,Puri Brata
210,Manakara,MG,62.82,clear sky,-22.1333,48.0167,La Residence Manakara
213,Tasiilaq,GL,46.56,light rain,65.6145,-37.6368,The Red House
214,Kaseda,JP,82.58,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
215,Sakakah,SA,99.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
216,Emerald,AU,50.34,clear sky,-23.5333,148.1667,The Irish Village
218,Toma,BF,83.19,clear sky,12.7667,-2.8833,Auberge de l'amitié
219,Grindavik,IS,51.75,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
220,Belmonte,BR,72.79,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
221,Phan Thiet,VN,76.62,light rain,10.9333,108.1,Hotel Saigon-PT
222,Rawson,AR,42.51,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
223,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
226,Inirida,CO,80.29,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
227,Frutal,BR,80.42,broken clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
228,Port Hedland,AU,53.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
231,Beneditinos,BR,83.84,clear sky,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
232,Amahai,ID,75.96,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
